2026-04-28 16:31:51  [LOG] 2026-04-28T16:31:51.166989 | grand=12474.5 | mofet=6666.5 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 18, 'routine_2024': 0, 'fighter_2024': 78, 'routine_2025': 0, 'fighter_2025': 50, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6666.5, 'tax_total': 5808, 'grand_total': 12474.5}
2026-04-28 16:31:53  [LOG] 2026-04-28T16:31:53.024047 | grand=0 | mofet=0 | tax=0 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 5, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 0, 'grand_total': 0}
2026-04-28 16:31:54  [LOG] 2026-04-28T16:31:54.282073 | grand=7541.29 | mofet=1733.29 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 8, 'fighter_2025': 36, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 1733.29, 'tax_total': 5808, 'grand_total': 7541.29}
2026-04-28 16:31:57  [LOG] 2026-04-28T16:31:57.695509 | grand=8741.26 | mofet=2933.26 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 9, 'fighter_2025': 0, 'gamar_2025': 44, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 2933.26, 'tax_total': 5808, 'grand_total': 8741.26}
2026-04-28 16:31:59  [LOG] 2026-04-28T16:31:59.336856 | grand=17407.71 | mofet=11599.71 | tax=5808 | inputs={'routine_2023': 6, 'fighter_2023': 156, 'routine_2024': 0, 'fighter_2024': 101, 'routine_2025': 0, 'fighter_2025': 87, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 11599.71, 'tax_total': 5808, 'grand_total': 17407.71}
2026-04-28 16:31:59  [LOG] 2026-04-28T16:31:59.447054 | grand=9674.57 | mofet=3866.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 76, 'routine_2024': 0, 'fighter_2024': 100, 'routine_2025': 62, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3866.57, 'tax_total': 5808, 'grand_total': 9674.57}
2026-04-28 16:31:59  [LOG] 2026-04-28T16:31:59.454242 | grand=15274.43 | mofet=9466.43 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 102, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9466.43, 'tax_total': 5808, 'grand_total': 15274.43}
2026-04-28 16:31:59  [LOG] 2026-04-28T16:31:59.897201 | grand=25674.17 | mofet=19866.17 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 120, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 120, 'mofet_total': 19866.17, 'tax_total': 5808, 'grand_total': 25674.17}
2026-04-28 16:32:00  [LOG] 2026-04-28T16:32:00.812257 | grand=15674.42 | mofet=9866.42 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 6, 'routine_2025': 0, 'fighter_2025': 99, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9866.42, 'tax_total': 5808, 'grand_total': 15674.42}
2026-04-28 16:32:01  [LOG] 2026-04-28T16:32:01.553040 | grand=32474 | mofet=26666 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 85, 'routine_2024': 0, 'fighter_2024': 142, 'routine_2025': 0, 'fighter_2025': 200, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 26666, 'tax_total': 5808, 'grand_total': 32474}
2026-04-28 16:32:03  [LOG] 2026-04-28T16:32:03.474108 | grand=18341.02 | mofet=12533.02 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 145, 'routine_2024': 0, 'fighter_2024': 105, 'routine_2025': 0, 'fighter_2025': 94, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12533.02, 'tax_total': 5808, 'grand_total': 18341.02}
2026-04-28 16:32:04  [LOG] 2026-04-28T16:32:04.352873 | grand=20740.96 | mofet=14932.96 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 26, 'routine_2024': 0, 'fighter_2024': 188, 'routine_2025': 0, 'fighter_2025': 112, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 14932.96, 'tax_total': 5808, 'grand_total': 20740.96}
2026-04-28 16:32:05  [LOG] 2026-04-28T16:32:05.048595 | grand=6062.66 | mofet=1706.66 | tax=4356 | inputs={'routine_2023': 5, 'fighter_2023': 90, 'routine_2024': 0, 'fighter_2024': 45, 'routine_2025': 0, 'fighter_2025': 2, 'gamar_2025': 24, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 1706.66, 'tax_total': 4356, 'grand_total': 6062.66}
2026-04-28 16:32:06  [LOG] 2026-04-28T16:32:06.119663 | grand=16934.57 | mofet=11126.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 50, 'routine_2024': 0, 'fighter_2024': 365, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 150, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 11126.57, 'tax_total': 5808, 'grand_total': 16934.57}
2026-04-28 16:32:06  [LOG] 2026-04-28T16:32:06.632536 | grand=12514.57 | mofet=6706.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 90, 'routine_2024': 0, 'fighter_2024': 120, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 100, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6706.57, 'tax_total': 5808, 'grand_total': 12514.57}
2026-04-28 16:32:08  [LOG] 2026-04-28T16:32:08.809691 | grand=17807.7 | mofet=11999.7 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 86, 'routine_2024': 0, 'fighter_2024': 125, 'routine_2025': 0, 'fighter_2025': 90, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 11999.7, 'tax_total': 5808, 'grand_total': 17807.7}
2026-04-28 16:32:09  [LOG] 2026-04-28T16:32:09.777571 | grand=54473.45 | mofet=48665.45 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 85, 'routine_2024': 0, 'fighter_2024': 142, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 48665.45, 'tax_total': 5808, 'grand_total': 54473.45}
