2026-04-28 17:07:12  [LOG] 2026-04-28T17:07:12.523691 | grand=11994.57 | mofet=6186.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 80, 'routine_2024': 0, 'fighter_2024': 260, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 87, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6186.57, 'tax_total': 5808, 'grand_total': 11994.57}
2026-04-28 17:07:14  [LOG] 2026-04-28T17:07:14.983549 | grand=58340.02 | mofet=52532.02 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 365, 'mofet_total': 52532.02, 'tax_total': 5808, 'grand_total': 58340.02}
2026-04-28 17:07:15  [LOG] 2026-04-28T17:07:15.608597 | grand=18474.35 | mofet=12666.35 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 126, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12666.35, 'tax_total': 5808, 'grand_total': 18474.35}
2026-04-28 17:07:16  [LOG] 2026-04-28T17:07:16.138103 | grand=37940.53 | mofet=32132.53 | tax=5808 | inputs={'routine_2023': 30, 'fighter_2023': 71, 'routine_2024': 0, 'fighter_2024': 59, 'routine_2025': 0, 'fighter_2025': 241, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 32132.53, 'tax_total': 5808, 'grand_total': 37940.53}
2026-04-28 17:07:17  [LOG] 2026-04-28T17:07:17.390423 | grand=22274.57 | mofet=16466.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 24, 'routine_2024': 0, 'fighter_2024': 361, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 344, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 16466.57, 'tax_total': 5808, 'grand_total': 22274.57}
2026-04-28 17:07:18  [LOG] 2026-04-28T17:07:18.694979 | grand=266.66 | mofet=266.66 | tax=0 | inputs={'routine_2023': 0, 'fighter_2023': 70, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 2, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 266.66, 'tax_total': 0, 'grand_total': 266.66}
2026-04-28 17:07:19  [LOG] 2026-04-28T17:07:19.315395 | grand=24474.2 | mofet=18666.2 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 100, 'routine_2024': 0, 'fighter_2024': 41, 'routine_2025': 0, 'fighter_2025': 140, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 18666.2, 'tax_total': 5808, 'grand_total': 24474.2}
2026-04-28 17:07:19  [LOG] 2026-04-28T17:07:19.366582 | grand=58340.02 | mofet=52532.02 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 365, 'mofet_total': 52532.02, 'tax_total': 5808, 'grand_total': 58340.02}
2026-04-28 17:07:20  [LOG] 2026-04-28T17:07:20.881060 | grand=24474.2 | mofet=18666.2 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 100, 'routine_2024': 0, 'fighter_2024': 41, 'routine_2025': 0, 'fighter_2025': 140, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 18666.2, 'tax_total': 5808, 'grand_total': 24474.2}
2026-04-28 17:07:21  [LOG] 2026-04-28T17:07:21.669223 | grand=54473.45 | mofet=48665.45 | tax=5808 | inputs={'routine_2023': 5, 'fighter_2023': 61, 'routine_2024': 0, 'fighter_2024': 100, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 48665.45, 'tax_total': 5808, 'grand_total': 54473.45}
